position	samples
1813	N1,P2,N3,P3
1817	N1,P2,N3,P3
1825	N1,P2,N3,P3
1832	N1,P2,N3,P3
1858	N1,P2,N3,P3
1867	N1,P2,N3,P3
1897	N1,P2,N3,P3
1933	N1,P2,N3,P3
1945	N1,P2,N3,P3
1999	N1,P2,N3,P3
2008	N1,P2,N3,P3
2023	N1,P2,N3,P3
2029	N1,P2,N3,P3
2050	N1,P2,N3,P3
2059	N1,P2,N3,P3
2074	N1,P2,N3,P3
2077	N1,P2,N3,P3
2083	N1,P2,N3,P3
2095	N1,P2,N3,P3
2116	N1,P2,N3,P3
2148	N1,P2,N3,P3
2151	N1,P2,N3,P3
2163	N1,P2,N3,P3
2165	N1,P2,N3,P3
2177	N1,P2,N3,P3
2289	N1,P2,N3,P3
2307	N1,P2,N3,P3
2308	N1,P2,N3,P3
2328	N1,P2,N3,P3
2344	N1,P2,N3,P3
2346	N1,P2,N3,P3
2349	N1,P2,N3,P3
2409	N1,P2,N3,P3
2716	N1,P2,N3,P3
2719	N1,P2,N3,P3
2728	N1,P2,N3,P3
2740	N1,P2,N3,P3
2749	N1,P2,N3,P3
2827	N1,P2,N3,P3
2833	N1,P2,N3,P3
2836	N1,P2,N3,P3
2845	N1,P2,N3,P3
2846	N1,P2,N3,P3
2877	N1,P2,N3,P3
2894	N1,P2,N3,P3
2899	N1,P2,N3,P3
2902	N1,P2,N3,P3
2905	N1,P2,N3,P3
2906	N1,P2,N3,P3
2929	N1,P2,N3,P3
2971	N1,P2,N3,P3
3044	N1,P2,N3,P3
3046	N1,P2,N3,P3
3064	N1,P2,N3,P3
3196	N1,P2,N3,P3
3204	N1,P2,N3,P3
3205	N1,P2,N3,P3
3211	N1,P2,N3,P3
3230	N1,P2,N3,P3
3238	N1,P2,N3,P3
3254	N1,P2,N3,P3
3288	N1,P2,N3,P3
3315	N1,P2,N3,P3
3349	N1,P2,N3,P3
3354	N1,P2,N3,P3
3429	N1,P2,N3,P3
3438	N1,P2,N3,P3
3463	N1,P2,N3,P3
3468	N1,P2,N3,P3
3486	N1,P2,N3,P3
3492	N1,P2,N3,P3
3541	N1,P2,N3,P3
3614	N1,P2,N3,P3
3615	N1,P2,N3,P3
3619	N1,P2,N3,P3
3633	N1,P2,N3,P3
3634	N1,P2,N3,P3
3648	N1,P2,N3,P3
3658	N1,P2,N3,P3
3669	N1,P2,N3,P3
3691	N1,P2,N3,P3
3703	N1,P2,N3,P3
3716	N1,P2,N3,P3
3718	N1,P2,N3,P3
3732	N1,P2,N3,P3
3734	N1,P2,N3,P3
3804	N1,P2,N3,P3
3825	N1,P2,N3,P3
3890	N1,P2,N3,P3
3896	N1,P2,N3,P3
3908	N1,P2,N3,P3
3963	N1,P2,N3,P3
3968	N1,P2,N3,P3
4030	N1,P2,N3,P3
4033	N1,P2,N3,P3
4043	N1,P2,N3,P3
4058	N1,P2,N3,P3
4078	N1,P2,N3,P3
4105	N1,P2,N3,P3
4111	N1,P2,N3,P3
4114	N1,P2,N3,P3
4130	N1,P2,N3,P3
4189	N1,P2,N3,P3
4285	N1,P2,N3,P3
4288	N1,P2,N3,P3
4292	N1,P2,N3,P3
4309	N1,P2,N3,P3
4314	N1,P2,N3,P3
4315	N1,P2,N3,P3
4349	N1,P2,N3,P3
4360	N1,P2,N3,P3
4361	N1,P2,N3,P3
4375	N1,P2,N3,P3
4378	N1,P2,N3,P3
4449	N1,P2,N3,P3
4463	N1,P2,N3,P3
4475	N1,P2,N3,P3
4478	N3
4480	N3
4490	N3
4491	N3
4498	N3
4508	N3
4566	N1,P2,N3,P3
4579	N1,P2,N3,P3
4622	N1,P2,N3,P3
4676	N1,P2,N3,P3
4705	N1,P2,N3,P3
4712	N1,P2,N3,P3
4831	N1,P2,N3,P3
4832	N1,P2,N3,P3
4892	N1,P2,N3,P3
5030	N1,P2,N3,P3
5033	N1,P2,N3,P3
5057	N1,P2,N3,P3
5169	N1,P2,N3,P3
5213	N1,P2,N3,P3
5238	N1,P2,N3,P3
5241	N1,P2,N3,P3
5244	N1,P2,N3,P3
5264	N1,P2,N3,P3
5342	N1,P2,N3,P3
5366	N1,P2,N3,P3
5413	N1,P2,N3,P3
5446	N1,P2,N3,P3
5465	N1,P2,N3,P3
5487	N1,P2,N3,P3
5504	N1,P2,N3,P3
5532	N1,P2,N3,P3
5973	N1,P2,N3,P3
6038	N1,P2,N3,P3
6131	N1,P2,N3,P3
6157	N1,P2,N3,P3
6257	N1,P2,N3,P3
6687	N1,P2,N3,P3
6690	N1,P2,N3,P3
6737	N1,P2,N3,P3
6773	N1,P2,N3,P3
6775	N1,P2,N3,P3
6840	N1,P2,N3,P3
6963	N1,P2,N3,P3
6978	N1,P2,N3,P3
7048	N1,P2,N3,P3
7566	N1,P2,N3,P3
7604	N1,P2,N3,P3
7616	N1,P2,N3,P3
7623	N1,P2,N3,P3
7683	N1,P2,N3,P3
7688	N1,P2,N3,P3
7715	N1,P2,N3,P3
7727	P2
7728	P2
7731	P2
7733	P2
7741	P2
7745	N1,P2,N3,P3
7766	N1,P2,N3,P3
7777	N1,P2,N3,P3
7790	N1,P2,N3,P3
7798	N1,P2,N3,P3
7822	N1,P2,N3,P3
7828	N1,P2,N3,P3
7848	N1,P2,N3,P3
7852	N1,P2,N3,P3
7855	N1,P2,N3,P3
7872	N1,P2,N3,P3
7873	N1,P2,N3,P3
7882	N1,P2,N3,P3
7887	N1,P2,N3,P3
7901	N1,P2,N3,P3
7930	N1,P2,N3,P3
7934	N1,P2,N3,P3
7946	N1,P2,N3,P3
7947	N1,P2,N3,P3
7957	N1,P2,N3,P3
7966	N1,P2,N3,P3
7972	N1,P2,N3,P3
7978	N1,P2,N3,P3
7982	N1,P2,N3,P3
7983	N1,P2,N3,P3
7999	N1,P2,N3,P3
8008	N1,P2,N3,P3
8013	N1,P2,N3,P3
8024	N1,P2,N3,P3
8036	N1,P2,N3,P3
8037	N1,P2,N3,P3
8064	N1,P2,N3,P3
8067	N1,P2,N3,P3
8077	N1,P2,N3,P3
8084	N1,P2,N3,P3
8124	N1,P2,N3,P3
8144	N1,P2,N3,P3
8286	N1,N3,P3
8318	N1,N3,P3
8427	N1,P2,N3,P3
8485	N1,P2,N3,P3
8520	N1,P2,N3,P3
8526	N1,P2,N3,P3
8528	N1,P2,N3,P3
8535	N1,P2,N3,P3
8538	N1,P2,N3,P3
8556	N1,P2,N3,P3
8558	N1,P2,N3,P3
8569	N1,P2,N3,P3
8574	N1,P2,N3,P3
8608	N1,P2,N3,P3
8708	N1,P2,N3,P3
8728	N1,P2,N3,P3
8734	N1,P2,N3,P3
8737	N1,P2,N3,P3
8756	N1,P2,N3,P3
8948	N1,P2,N3,P3
8960	N1,P2,N3,P3
9136	N1,P2,N3,P3
9174	N1,P2,N3,P3
9330	N1,P2,N3,P3
9354	N1,P2,N3,P3
9423	N1,P2,N3,P3
9477	N1,P2,N3,P3
9557	N1,P2,N3,P3
9695	N1,P2,N3,P3
9746	N1,P2,N3,P3
9790	N1,P2,N3,P3
9841	N1,P2,N3,P3
9904	N1,P2,N3,P3
9909	N1,P2,N3,P3
10044	N1,P2,N3,P3
10084	N1,P2,N3,P3
10266	N1,P2,N3,P3
10301	N1,P2,N3,P3
10337	N1,P2,N3,P3
10442	N1,P2,N3,P3
10472	N1,P2,N3,P3
10485	N1,P2,N3,P3
10568	N1,P2,N3,P3
10600	N1,P2,N3,P3
10603	N1,P2,N3,P3
10612	N1,P2,N3,P3
10624	N1,P2,N3,P3
10633	N1,P2,N3,P3
11609	N1,P2,N3,P3
11744	N1,P2,N3,P3
11810	N1,P2,N3,P3
11916	N1,P2,N3,P3
12082	N1,P2,N3,P3
12104	N1,P2,N3,P3
12143	N1,P2,N3,P3
12209	N1,P2,N3,P3
12287	N1,P2,N3,P3
12296	N1,P2,N3,P3
12302	N1,P2,N3,P3
12363	N1,P2,N3,P3
12364	N1,P2,N3,P3
12452	N1,P2,N3,P3
12488	N1,P2,N3,P3
12495	N1,P2,N3,P3
12506	N1,P2,N3,P3
12556	N1,P2,N3,P3
12674	N1,P2,N3,P3
12675	N1,P2,N3,P3
12701	N1,P2,N3,P3
12720	N1,P2,N3,P3
12771	N1,P2,N3,P3
12782	N1,P2,N3,P3
12788	N1,P2,N3,P3
12803	N1,P2,N3,P3
12808	N1,P2,N3,P3
12818	N1,P2,N3,P3
12820	N1,P2,N3,P3
12977	N1,P2,N3,P3
12983	N1,P2,N3,P3
13043	N1,P2,N3,P3
13097	N1,P2,N3,P3
13194	N1,P2,N3,P3
13259	N1,P2,N3,P3
13291	N1,P2,N3,P3
13296	N1,P2,N3,P3
13366	N1,P2,N3,P3
13394	N1,P2,N3,P3
13405	N1,P2,N3,P3
13439	N1,P2,N3,P3
13450	N1,P2,N3,P3
13469	N1,P2,N3,P3
13627	P2
13693	P2
13816	N1,P2,N3,P3
13817	N1,P2,N3,P3
13864	N1,P2,N3,P3
13924	N1,P2,N3,P3
13946	N1,P2,N3,P3
13956	N1,P2,N3,P3
14005	N1,P2,N3,P3
14092	N1,N3,P3
14128	N1,P2,N3,P3
14131	N1,P2,N3,P3
14227	N1,P2,N3,P3
14315	N1,P2,N3,P3
14615	N1,P2,N3,P3
14624	N1,P2,N3,P3
15120	N1,N3,P3
15142	N1,N3,P3
15156	N1,N3,P3
15173	N1,N3,P3
15214	N1,N3,P3
15309	N1,P2,N3,P3
15319	N1,P2,N3,P3
15320	N1,P2,N3,P3
15330	N1,P2,N3,P3
15345	N1,P2,N3,P3
15351	N1,P2,N3,P3
15421	N1,P2,N3,P3
15423	N1,P2,N3,P3
15430	N1,P2,N3,P3
15454	N1,P2,N3,P3
15528	N1,P2,N3,P3
15658	N1,P2,N3,P3
15854	N1,P2,N3,P3
15888	N1,P2,N3,P3
15921	N1,P2,N3,P3
15961	N1,N3,P3
15978	N1,P2,N3,P3
15987	N1,P2,N3,P3
16055	N1,P2,N3,P3
16100	N1,P2,N3,P3
16107	N1,P2,N3,P3
16170	N1,P2,N3,P3
16181	N1,P2,N3,P3
16202	N1,P2,N3,P3
16217	N1,P2,N3,P3
16229	N1,P2,N3,P3
16235	N1,P2,N3,P3
16247	N1,P2,N3,P3
16253	N1,P2,N3,P3
16286	N1,P2,N3,P3
16310	N1,P2,N3,P3
16370	N1,P2,N3,P3
16385	N1,P2,N3,P3
16400	N1,P2,N3,P3
16421	N1,P2,N3,P3
16430	N1,P2,N3,P3
16455	N1,P2,N3,P3
16457	N1,P2,N3,P3
16518	N1,P2,N3,P3
16537	N1,P2,N3,P3
16543	N1,P2,N3,P3
16545	N1,P2,N3,P3
16555	N1,P2,N3,P3
16565	N1,P2,N3,P3
16570	N1,P2,N3,P3
16589	N1,P2,N3,P3
16591	N1,P2,N3,P3
16599	N1,P2,N3,P3
16600	N1,P2,N3,P3
16601	N1,P2,N3,P3
16612	N1,P2,N3,P3
16613	N1,P2,N3,P3
16637	N1,P2,N3,P3
16641	N1,P2,N3,P3
16706	N1,P2,N3,P3
16718	N1,P2,N3,P3
16720	N1,P2,N3,P3
16750	N1,P2,N3,P3
16785	N1,P2,N3,P3
16822	N1,P2,N3,P3
16823	N1,P2,N3,P3
16832	N1,P2,N3,P3
16855	N1,P2,N3,P3
16889	N1,P2,N3,P3
16897	N1,P2,N3,P3
16899	N1,P2,N3,P3
16903	N1,P2,N3,P3
16908	N1,P2,N3,P3
16909	N1,P2,N3,P3
16915	N1,P2,N3,P3
16918	N1,P2,N3,P3
16929	N1,P2,N3,P3
16931	N1,P2,N3,P3
16943	N1,P2,N3,P3
16952	N1,P2,N3,P3
16996	N1,P2,N3,P3
17009	N1,P2,N3,P3
17012	N1,P2,N3,P3
17120	N1,P2,N3,P3
17178	N1,P2,N3,P3
17179	N1,P2,N3,P3
17217	N1,P2,N3,P3
17218	N1,P2,N3,P3
17219	N1,P2,N3,P3
17221	N1,P2,N3,P3
17235	N1,P2,N3,P3
17237	N1,P2,N3,P3
17239	N1,P2,N3,P3
17243	N1,P2,N3,P3
17244	N1,P2,N3,P3
17247	N1,P2,N3,P3
17261	N1,P2,N3,P3
17264	N1,P2,N3,P3
17285	N1,P2,N3,P3
17302	N1,P2,N3,P3
17324	N1,P2,N3,P3
17329	N1,P2,N3,P3
17338	N1,P2,N3,P3
17406	N1,P2,N3,P3
17453	N1,P2,N3,P3
17468	N1,P2,N3,P3
17501	N1,P2,N3,P3
17537	N1,P2,N3,P3
17549	N1,P2,N3,P3
17558	N1,P2,N3,P3
17566	N1,P2,N3,P3
17570	N1,P2,N3,P3
17576	N1,P2,N3,P3
17596	N1,P2,N3,P3
17612	N1,P2,N3,P3
17614	N1,P2,N3,P3
17617	N1,P2,N3,P3
17626	N1,P2,N3,P3
17642	N1,P2,N3,P3
17643	N1,P2,N3,P3
17645	N1,P2,N3,P3
17653	N1,P2,N3,P3
17788	N1,P2,N3,P3
17790	N1,P2,N3,P3
17797	N1,P2,N3,P3
17799	N1,P2,N3,P3
17807	N1,P2,N3,P3
17814	N1,P2,N3,P3
17833	N1,P2,N3,P3
17839	N1,P2,N3,P3
17863	N1,P2,N3,P3
17869	N1,P2,N3,P3
17872	N1,P2,N3,P3
17912	N1,P2,N3,P3
17966	N1,P2,N3,P3
17986	N1,P2,N3,P3
18081	N1,P2,N3,P3
18216	N1,P2,N3,P3
18299	N1,P2,N3,P3
18324	N1,P2,N3,P3
18356	N1,P2,N3,P3
18476	P2
18563	N1,P2,N3,P3
18598	N1,P2,N3,P3
18617	N1,P2,N3,P3
18675	N1,P2,N3,P3
18701	N1,P2,N3,P3
18702	N1,P2,N3,P3
18711	N1,P2,N3,P3
18732	N1,P2,N3,P3
18770	N1,P2,N3,P3
18800	N1,P2,N3,P3
18919	N1,P2,N3,P3
18952	N1,P2,N3,P3
18965	N1,P2,N3,P3
19235	N1,P2,N3,P3
19236	N1,P2,N3,P3
19262	N1,P2,N3,P3
19268	N1,P2,N3,P3
19301	N1,P2,N3,P3
19352	N1,P2,N3,P3
19373	N1,P2,N3,P3
19379	N1,P2,N3,P3
19400	N1,P2,N3,P3
19427	N1,P2,N3,P3
19448	N1,P2,N3,P3
19457	N1,P2,N3,P3
19466	N1,P2,N3,P3
19469	N1,P2,N3,P3
19481	N1,P2,N3,P3
19499	N1,P2,N3,P3
19505	N1,P2,N3,P3
19535	N1,P2,N3,P3
19580	N1,P2,N3,P3
19686	N1,P2,N3,P3
19694	N1,P2,N3,P3
19825	N1,P2,N3,P3
19833	N1,P2,N3,P3
19873	N1,P2,N3,P3
19926	N1,P2,N3,P3
19932	N1,P2,N3,P3
19968	N1,P2,N3,P3
19974	N1,P2,N3,P3
20001	N1,P2,N3,P3
20040	N1,P2,N3,P3
20055	N1,P2,N3,P3
20070	N1,P2,N3,P3
20073	N1,P2,N3,P3
20103	N1,P2,N3,P3
20173	N1,P2,N3,P3
20223	N1,P2,N3,P3
20241	N1,P2,N3,P3
20250	N1,P2,N3,P3
20256	N1,P2,N3,P3
20257	N1,P2,N3,P3
20289	N1,P2,N3,P3
20298	N1,P2,N3,P3
20340	N1,P2,N3,P3
20362	N1,P2,N3,P3
20445	N1,P2,N3,P3
20447	N1,P2,N3,P3
20482	N1,P2,N3,P3
20503	N1,P2,N3,P3
20506	N1,P2,N3,P3
20537	N1,P2,N3,P3
20545	N1,P2,N3,P3
20546	N1,P2,N3,P3
20562	N1,P2,N3,P3
20601	N1,P2,N3,P3
20617	N1,P2,N3,P3
20620	N1,P2,N3,P3
20656	N1,P2,N3,P3
20671	N1,P2,N3,P3
20692	N1,P2,N3,P3
20701	N1,P2,N3,P3
20707	N1,P2,N3,P3
20740	N1,P2,N3,P3
20779	N1,P2,N3,P3
20785	N1,P2,N3,P3
20827	N1,P2,N3,P3
20833	N1,P2,N3,P3
20875	N1,P2,N3,P3
20896	N1,P2,N3,P3
20929	N1,P2,N3,P3
20931	N1,P2,N3,P3
20932	N1,P2,N3,P3
20965	N1,P2,N3,P3
20993	N1,P2,N3,P3
21001	N1,P2,N3,P3
21004	N1,P2,N3,P3
21031	N1,P2,N3,P3
21088	N1,P2,N3,P3
21123	N1,P2,N3,P3
21127	N1,P2,N3,P3
21130	N1,P2,N3,P3
21178	N1,P2,N3,P3
21193	N1,P2,N3,P3
21202	N1,P2,N3,P3
21244	N1,P2,N3,P3
21272	N1,P2,N3,P3
21280	N1,P2,N3,P3
21307	N1,P2,N3,P3
21310	N1,P2,N3,P3
21397	N1,P2,N3,P3
21415	N1,P2,N3,P3
21430	N1,P2,N3,P3
21483	N1,P2,N3,P3
21485	N1,P2,N3,P3
21487	N1,P2,N3,P3
21496	N1,P2,N3,P3
21563	N1,P2,N3,P3
21570	N1,P2,N3,P3
21573	N1,P2,N3,P3
21603	N1,P2,N3,P3
21612	N1,P2,N3,P3
21630	N1,P2,N3,P3
21636	N1,P2,N3,P3
21725	N1,N3,P3
21735	N1,N3,P3
21737	N1,N3,P3
21784	N1,N3,P3
21799	N1,N3,P3
21897	N1,N3,P3
21996	N1,P2,N3,P3
22008	N1,P2,N3,P3
22028	N1,P2,N3,P3
22081	N1,P2,N3,P3
22314	N1,N3,P3
22318	N1,N3,P3
22343	N1,N3,P3
22401	N1,N3,P3
22402	N1,N3,P3
22453	N1,P2,N3,P3
22499	N1,P2,N3,P3
22589	N1,P2,N3,P3
22608	N1,P2,N3,P3
22684	N1,N3,P3
22715	N1,P2,N3,P3
22718	N1,P2,N3,P3
22721	N1,P2,N3,P3
22727	N1,P2,N3,P3
22776	N1,P2,N3,P3
22781	N1,P2,N3,P3
22808	N1,P2,N3,P3
22820	N1,P2,N3,P3
22839	N1,P2,N3,P3
22865	N1,P2,N3,P3
22871	N1,P2,N3,P3
22901	N1,P2,N3,P3
22917	N1,P2,N3,P3
22972	N1,P2,N3,P3
22978	N1,P2,N3,P3
22987	N1,P2,N3,P3
22994	N1,P2,N3,P3
22998	N1,P2,N3,P3
23000	N1,P2,N3,P3
23005	N1,P2,N3,P3
23049	N1,P2,N3,P3
23053	N1,P2,N3,P3
23079	N1,P2,N3,P3
23080	N1,P2,N3,P3
23081	N1,P2,N3,P3
23082	N1,P2,N3,P3
23090	N1,P2,N3,P3
23092	N1,P2,N3,P3
23125	P2
23135	P2
23137	P2
23139	P2
23143	P2
23145	P2
23147	P2
23158	P2
23257	N1,P2,N3,P3
23266	N1,P2,N3,P3
23281	N1,P2,N3,P3
23293	N1,P2,N3,P3
23324	N1,P2,N3,P3
23391	N1,P2,N3,P3
23419	N1,P2,N3,P3
23446	N1,P2,N3,P3
23469	N1,P2,N3,P3
23480	N1,P2,N3,P3
23563	N1,P2,N3,P3
23573	N1,P2,N3,P3
23619	N1,P2,N3,P3
23635	N1,P2,N3,P3
23640	N1,P2,N3,P3
23706	N1,P2,N3,P3
23863	N1,P2,N3,P3
23876	N1,P2,N3,P3
23986	N1,P2,N3,P3
24008	N1,P2,N3,P3
24339	N1,P2,N3,P3
24454	N1,P2,N3,P3
24468	N1,P2,N3,P3
24472	N1,P2,N3,P3
24581	N1
24809	N1,P2,N3,P3
24822	N1,P2,N3,P3
24861	N1,P2,N3,P3
24959	N1,P2,N3,P3
25171	N1,P2,N3,P3
25183	N1,P2,N3,P3
25211	N1,P2,N3,P3
25230	N1,P2,N3,P3
25250	N1,P2,N3,P3
25338	N1,P2,N3,P3
25356	N1,P2,N3,P3
25856	N1,P2,N3,P3
25931	N1,P2,N3,P3
26051	N1,P2,N3,P3
26069	N1,P2,N3,P3
26128	N1,P2,N3,P3
26135	N1,P2,N3,P3
26151	N1,P2,N3,P3
26186	N1,P2,N3,P3
26201	N1,P2,N3,P3
26213	N1,P2,N3,P3
26240	N1,P2,N3,P3
26558	N1,P2,N3,P3
26579	N1,P2,N3,P3
26592	N1,P2,N3,P3
26603	N1,P2,N3,P3
26671	N1,P2,N3,P3
26686	N1,P2,N3,P3
26688	N1,P2,N3,P3
26706	N1,P2,N3,P3
26789	N1,P2,N3,P3
27033	N1,P2,N3,P3
27045	N1,P2,N3,P3
27057	N1,P2,N3,P3
27101	N1,P2,N3,P3
27115	N1,P2,N3,P3
27116	N1,P2,N3,P3
27123	N1,P2,N3,P3
27131	N1,P2,N3,P3
27146	N1,P2,N3,P3
27149	N1,P2,N3,P3
27154	N1,P2,N3,P3
27167	N1,P2,N3,P3
27182	N1,P2,N3,P3
27194	N1,P2,N3,P3
27198	N1,P2,N3,P3
27200	N1,P2,N3,P3
27227	N1,P2,N3,P3
27269	N1,P2,N3,P3
27272	N1,P2,N3,P3
27282	N1,P2,N3,P3
27311	N1,P2,N3,P3
27323	N1,P2,N3,P3
27326	N1,P2,N3,P3
27327	N1,P2,N3,P3
27369	N1,P2,N3,P3
27374	N1,P2,N3,P3
27392	N1,P2,N3,P3
27422	N1,P2,N3,P3
27428	N1,P2,N3,P3
27503	P2
27507	P2
27512	P2
27527	P2
27539	P2
27645	P2
27710	N1,P2,N3,P3
27714	N1,P2,N3,P3
27718	N1,P2,N3,P3
27729	N1,P2,N3,P3
27738	N1,P2,N3,P3
27740	N1,P2,N3,P3
27765	N1,P2,N3,P3
27799	N1,P2,N3,P3
27812	N1,P2,N3,P3
27828	N1,P2,N3,P3
27831	N1,P2,N3,P3
27852	N1,P2,N3,P3
27904	N1,P2,N3,P3
27925	N1,P2,N3,P3
27942	N1,P2,N3,P3
28056	N1,P2,N3,P3
28110	N1,P2,N3,P3
28122	N1,P2,N3,P3
28158	N1,P2,N3,P3
28161	N1,P2,N3,P3
28196	N1,P2,N3,P3
28223	N1,P2,N3,P3
28227	N1,P2,N3,P3
28239	N1,P2,N3,P3
28254	N1,P2,N3,P3
28270	N1,P2,N3,P3
28332	N1,P2,N3,P3
28368	N1,P2,N3,P3
28374	N1,P2,N3,P3
28380	N1,P2,N3,P3
28384	N1,P2,N3,P3
28386	N1,P2,N3,P3
28387	N1,P2,N3,P3
28389	N1,P2,N3,P3
28412	N1,P2,N3,P3
28450	N1,P2,N3,P3
28515	N1,P2,N3,P3
28585	N1,P2,N3,P3
28624	N1,P2,N3,P3
28627	N1,P2,N3,P3
28675	N1,P2,N3,P3
28693	N1,P2,N3,P3
28725	N1,P2,N3,P3
28726	N1,P2,N3,P3
28753	N1,P2,N3,P3
28764	N1,P2,N3,P3
28818	N1,P2,N3,P3
28867	N1,P2,N3,P3
28917	N1,P2,N3,P3
28918	N1,P2,N3,P3
28919	N1,P2,N3,P3
28935	N1,P2,N3,P3
28946	N1,P2,N3,P3
28961	N1,P2,N3,P3
28979	N1,P2,N3,P3
29046	N1,P2,N3,P3
29055	N1,P2,N3,P3
29127	N1,P2,N3,P3
29133	N1,P2,N3,P3
29134	N1,P2,N3,P3
29158	N1,P2,N3,P3
29166	N1,P2,N3,P3
29174	N1,P2,N3,P3
29199	N1,P2,N3,P3
29253	N1,P2,N3,P3
29283	N1,P2,N3,P3
29336	N1,P2,N3,P3
29355	N1,P2,N3,P3
29392	N1,P2,N3,P3
29469	N1,P2,N3,P3
29593	N1,P2,N3,P3
29623	N1,P2,N3,P3
29656	N1,P2,N3,P3
29671	N1,P2,N3,P3
29774	N1,P2,N3,P3
29807	N1,P2,N3,P3
29811	N1,P2,N3,P3
29815	N1,P2,N3,P3
29841	N1,P2,N3,P3
29909	N1,P2,N3,P3
29911	N1,P2,N3,P3
29924	N1,P2,N3,P3
29937	N1,P2,N3,P3
29944	N1,P2,N3,P3
29947	N1,P2,N3,P3
29962	N1,P2,N3,P3
29980	N1,P2,N3,P3
29991	N1,P2,N3,P3
30001	N1,P2,N3,P3
30007	N1,P2,N3,P3
30028	N1,P2,N3,P3
30061	N1,P2,N3,P3
30064	N1,P2,N3,P3
30067	N1,P2,N3,P3
30068	N1,P2,N3,P3
30073	N1,P2,N3,P3
30074	N1,P2,N3,P3
30089	N1,P2,N3,P3
30090	N1,P2,N3,P3
30091	N1,P2,N3,P3
30092	N1,P2,N3,P3
30094	N1,P2,N3,P3
30096	N1,P2,N3,P3
30097	N1,P2,N3,P3
30110	N1,P2,N3,P3
30122	N1,P2,N3,P3
30140	N1,P2,N3,P3
30305	N1,P2,N3,P3
30347	N1,P2,N3,P3
30398	N1,P2,N3,P3
30442	N1,P2,N3,P3
30463	N1,P2,N3,P3
30490	N1,P2,N3,P3
30510	N1,P2,N3,P3
30519	N1,P2,N3,P3
30541	N1,P2,N3,P3
30562	N1,P2,N3,P3
30582	N1,P2,N3,P3
30616	N1,P2,N3,P3
30626	N1,P2,N3,P3
30638	N1,P2,N3,P3
30663	N1,P2,N3,P3
30673	N1,P2,N3,P3
30680	N1,P2,N3,P3
30685	N1,P2,N3,P3
30716	N1,P2,N3,P3
30718	N1,P2,N3,P3
